,Company,Address,SIC2,Latitude,Longitude,NeighborSIC52,NeighborSIC53,NeighborSIC54,NeighborSIC55,NeighborSIC56,NeighborSIC57,NeighborSIC58,NeighborSIC59,NeighborSIC60,NeighborSIC61,NeighborSIC62,NeighborSIC63,NeighborSIC64,NeighborSIC65,NeighborSIC66,NeighborSIC67,NeighborSIC68,NeighborSIC69,NeighborSIC70,NeighborSIC71,NeighborSIC72,NeighborSIC73,NeighborSIC74,NeighborSIC75,NeighborSIC76,NeighborSIC77,NeighborSIC78,NeighborSIC79,NeighborSIC80,NeighborSIC81,NeighborSIC82,NeighborSIC83,NeighborSIC84
1564,COACHARTORG,3303 WILSHIRE BLVD 1200,58,34.0619,118.2943,,,,,,,1.0,,1.0,2.0,,,6.0,5.0,,,,,,,2.0,2.0,,,,,,,1.0,2.0,1.0,1.0,
1641,S BAR,6304 HOLLYWOOD BLVD,58,34.0997,118.3272,1.0,2.0,15.0,11.0,44.0,20.0,51.0,76.0,9.0,6.0,3.0,,4.0,15.0,,6.0,,,8.0,,37.0,140.0,,18.0,10.0,,54.0,30.0,8.0,8.0,7.0,9.0,2.0
1665,PITFIRE WESTWOOD LLC,108 W 2ND ST APT 210,58,34.051,118.2449,1.0,,1.0,,2.0,,7.0,1.0,,1.0,,,,3.0,,1.0,,,,,2.0,28.0,,1.0,2.0,,3.0,4.0,1.0,,1.0,,
1702,CASA NOODLE TERIYAKI,5930 S MAIN ST,58,33.9864,118.2737,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,JEAN FRANCOIS INC,827 N LA CIENEGA BLVD,58,34.0895,118.3792,8.0,,12.0,8.0,67.0,29.0,35.0,88.0,3.0,2.0,4.0,,4.0,38.0,,10.0,,,9.0,,59.0,239.0,,9.0,9.0,,77.0,40.0,20.0,16.0,6.0,7.0,3.0
1774,MARES LLC,11690 SAN VICENTE BLVD,58,34.0535,118.4647,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1910,LUNCHSTOP AT WISHIRE FEDERAL,11000 WILSHIRE BLVD,58,34.0575,118.4478,,1.0,,,,1.0,3.0,2.0,1.0,,,,,1.0,,,,,,,1.0,5.0,,,1.0,,1.0,,,,2.0,1.0,
1972,TENNO SUSHI 2,2321 E 1ST ST,58,34.0442,118.2105,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
1974,ELBAS SNACK BAR,10728 S CENTRAL AVE,58,33.9379,118.25399999999999,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,FATBURGER,3026 S FIGUEROA ST,58,34.0246,118.27799999999999,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2201,GG INC,4533 E CESAR E CHAVEZ AVE,58,34.0407,118.1685,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,GINAS BREADSHOP,624 W 106TH ST,58,33.9397,118.2854,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,BIRD THE,5800 WEST BLVD,58,33.9888,118.335,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2293,HWA SUN JI TEA & COFFEE,3960 WILSHIRE BLVD,58,34.0615,118.3131,,,4.0,4.0,2.0,1.0,1.0,4.0,,1.0,1.0,,4.0,5.0,,3.0,,,,,2.0,22.0,,,,,,1.0,3.0,1.0,3.0,1.0,
2344,TAVARES UNI,1415 S ALAMEDA ST,58,34.025,118.2393,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,KANE,5574 MELROSE AVE,58,34.0834,118.3223,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,LA BONITA RESTAURANT,5253 SANTA MONICA BLVD,58,34.0908,118.3042,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,LEMONTREE,303 E 7TH ST,58,34.0424,118.249,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,
2480,LOS FELIZ PASTRIES AND CAFE,3070 LOS FELIZ BLVD,58,34.1246,118.266,,,3.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2522,TAYLA ENTERPRISES INC,12860 W WASHINGTON BLVD,58,33.9952,118.4378,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,PANGAEA BISTRO,465 S LA CIENEGA BLVD,58,34.0695,118.3765,,,,,,,3.0,1.0,,,,,,,,,,,5.0,,,1.0,,1.0,,,,,1.0,,,,
2557,KONG JI NE RESTAURANT,3450 W 6TH ST STE 110,58,34.0634,118.2967,,,4.0,,5.0,,5.0,3.0,,,,,,,,,,,,,4.0,1.0,,,,,,1.0,,,,,
2608,BELLA MIA,1110 COLORADO BLVD,58,34.1372,118.1901,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,3.0,,,,
2711,MASTER BURGER NO 3,4366 W ADAMS BLVD,58,34.0324,118.3341,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
2743,DELICIOUS DEL SALVADOR,3400 E 8TH ST,58,34.0259,118.1958,4.0,5.0,13.0,20.0,14.0,10.0,17.0,32.0,1.0,1.0,1.0,,1.0,7.0,,2.0,,,,,17.0,73.0,,45.0,41.0,,4.0,5.0,21.0,3.0,4.0,7.0,1.0
2746,PURPLE LOUNGE,1776 S RIMPAU BLVD,58,34.0431,118.3416,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,MARICOS PUERTO ESCONDIDO,3740 WHITTIER BLVD,58,34.0239,118.1925,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
2801,MARISCOS EL PARIENTE,11125 S MAIN ST,58,33.9343,118.2739,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,MARISCOS EL PARIENTE,4101 S BROADWAY,58,34.0089,118.2785,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,MARISCOS MARIA CATERING TRUCK,2215 S VERMONT AVE,58,34.0358,118.2917,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2865,PAMPAS GRILL,6333 W 3RD ST STE 618,58,34.0714,118.3598,,1.0,21.0,1.0,13.0,4.0,38.0,47.0,,,,,,,,2.0,,,,,3.0,5.0,,,3.0,,,,3.0,,,1.0,1.0
2898,CALIFORNIA PITA,201 N LOS ANGELES ST,58,34.0524,118.2418,,,3.0,,2.0,1.0,14.0,9.0,1.0,,,,1.0,,,,,,,,8.0,4.0,,,1.0,,,,4.0,3.0,1.0,,
2913,SUBWAY INC,5609 W SUNSET BLVD,58,34.0982,118.3117,,,1.0,,,,3.0,1.0,1.0,,,,,,,1.0,,,,,3.0,,,,,,5.0,,,,,,
2968,SALSITAS PICANTE RESTAURANT,3026 W JEFFERSON BLVD,58,34.0254,118.3286,,1.0,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
2979,L T ACQUISITION CORP,10645 W PICO BLVD,58,34.0427,118.4235,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
