Geo ID,Geographic Area Name, Total population,Median age,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 29 years,Percent 30 to 34 years,Percent 35 to 39 years,Percent 40 to 44 years,Percent 45 to 49 years,Percent 50 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 69 years,Percent 70 to 74 years,Percent 75 to 79 years,Percent 80 to 84 years,Percent 85 years and over
8600000US92356,92356,6573,40.9,537,387,295,314,437,253,517,354,217,417,415,684,456,415,253,82,42,7.6,8.2,5.9,4.5,4.8,6.6,3.8,7.9,5.4,3.3,6.3,6.3,10.4,6.9,6.3,3.8,1.2,0.6
8600000US92358,92358,722,54.9,0,47,17,30,22,16,56,0,30,150,60,125,97,19,45,0,8,0,0,6.5,2.4,4.2,3,2.2,7.8,0,4.2,20.8,8.3,17.3,13.4,2.6,6.2,0,1.1
8600000US92359,92359,9170,36.9,603,612,691,596,692,641,959,573,429,797,520,420,447,311,158,214,79,4.7,6.6,6.7,7.5,6.5,7.5,7,10.5,6.2,4.7,8.7,5.7,4.6,4.9,3.4,1.7,2.3,0.9
8600000US92363,92363,5348,42.3,581,381,307,152,358,127,335,319,423,249,398,312,390,371,154,119,73,5.6,10.9,7.1,5.7,2.8,6.7,2.4,6.3,6,7.9,4.7,7.4,5.8,7.3,6.9,2.9,2.2,1.4
8600000US92364,92364,6,-,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
8600000US92365,92365,2733,47.3,92,128,222,96,99,107,79,198,217,264,186,244,203,119,130,61,38,9.1,3.4,4.7,8.1,3.5,3.6,3.9,2.9,7.2,7.9,9.7,6.8,8.9,7.4,4.4,4.8,2.2,1.4
8600000US92368,92368,1019,31,82,139,116,71,38,84,30,41,89,58,55,34,40,57,26,16,2,4,8,13.6,11.4,7,3.7,8.2,2.9,4,8.7,5.7,5.4,3.3,3.9,5.6,2.6,1.6,0.2
8600000US92371,92371,18269,38.1,1460,1334,995,1383,804,1109,821,1392,1202,1402,1233,1294,910,458,499,198,116,9.1,8,7.3,5.4,7.6,4.4,6.1,4.5,7.6,6.6,7.7,6.7,7.1,5,2.5,2.7,1.1,0.6
8600000US92372,92372,6071,41.5,271,652,259,548,325,227,272,380,305,262,529,465,459,158,143,320,88,6.7,4.5,10.7,4.3,9,5.4,3.7,4.5,6.3,5,4.3,8.7,7.7,7.6,2.6,2.4,5.3,1.4
8600000US92373,92373,33353,39.3,1988,1603,1606,1655,3147,2536,1996,1784,1787,1524,2291,2753,1909,1370,1270,738,966,7.3,6,4.8,4.8,5,9.4,7.6,6,5.3,5.4,4.6,6.9,8.3,5.7,4.1,3.8,2.2,2.9
