Geo ID,Geographic Area Name,Median gross rent
8600000US92281,92281,768
8600000US92282,92282,1315
8600000US92283,92283,523
8600000US92284,92284,934
8600000US92285,92285,892
8600000US92301,92301,1165
8600000US92304,92304,-
8600000US92305,92305,1531
8600000US92307,92307,1048
8600000US92308,92308,1083
8600000US92309,92309,670
8600000US92310,92310,1369
8600000US92311,92311,798
8600000US92313,92313,1405
8600000US92314,92314,1114
8600000US92315,92315,957
8600000US92316,92316,1253
8600000US92320,92320,1135
8600000US92321,92321,1021
8600000US92322,92322,-
8600000US92324,92324,1200
8600000US92325,92325,1002
8600000US92327,92327,779
8600000US92328,92328,263
8600000US92332,92332,-
8600000US92333,92333,-
8600000US92335,92335,1197
8600000US92336,92336,1828
8600000US92337,92337,1683
8600000US92338,92338,-
8600000US92339,92339,1358
8600000US92341,92341,-
8600000US92342,92342,1429
8600000US92344,92344,1562
8600000US92345,92345,1154
8600000US92346,92346,1129
8600000US92347,92347,-
8600000US92352,92352,1404
8600000US92354,92354,1337
8600000US92356,92356,911
8600000US92358,92358,1372
8600000US92359,92359,1000
8600000US92363,92363,638
8600000US92364,92364,-
8600000US92365,92365,980
8600000US92368,92368,978
8600000US92371,92371,1139
8600000US92372,92372,1036
8600000US92373,92373,1410
8600000US92374,92374,1298
8600000US92376,92376,1224
8600000US92377,92377,1677
8600000US92378,92378,-
8600000US92382,92382,1217
8600000US92384,92384,-
8600000US92385,92385,-
8600000US92386,92386,1109
8600000US92389,92389,-
8600000US92391,92391,767
8600000US92392,92392,1403
8600000US92394,92394,1237
8600000US92395,92395,1155
8600000US92397,92397,1030
8600000US92398,92398,685
8600000US92399,92399,1179
8600000US92401,92401,826
8600000US92404,92404,1033
8600000US92405,92405,1076
8600000US92407,92407,1321
8600000US92408,92408,964
8600000US92410,92410,950
8600000US92411,92411,1092
8600000US92501,92501,1184
8600000US92503,92503,1351
8600000US92504,92504,1297
8600000US92505,92505,1539
8600000US92506,92506,1466
8600000US92507,92507,1314
8600000US92508,92508,2053
8600000US92509,92509,1345
8600000US92518,92518,1669
8600000US92530,92530,1352
8600000US92532,92532,1812
8600000US92536,92536,881
8600000US92539,92539,814
8600000US92543,92543,991
8600000US92544,92544,1219
8600000US92545,92545,1341
8600000US92548,92548,1096
8600000US92549,92549,1139
8600000US92551,92551,1526
8600000US92553,92553,1397
8600000US92555,92555,1803
8600000US92557,92557,1520
8600000US92561,92561,1177
8600000US92562,92562,1736
8600000US92563,92563,1824
8600000US92567,92567,1195
8600000US92570,92570,1186
8600000US92571,92571,1565
8600000US92582,92582,1566
8600000US92583,92583,1141
8600000US92584,92584,1921
8600000US92585,92585,1665
8600000US92586,92586,1192
8600000US92587,92587,1806
8600000US92590,92590,989
8600000US92591,92591,1795
8600000US92592,92592,2000
8600000US92595,92595,1590
8600000US92596,92596,1999
8600000US92602,92602,2372
8600000US92603,92603,2491
8600000US92604,92604,2309
8600000US92606,92606,2320
8600000US92610,92610,2268
8600000US92612,92612,2386
8600000US92614,92614,2392
8600000US92617,92617,1395
8600000US92618,92618,2428
8600000US92620,92620,2370
8600000US92624,92624,2060
8600000US92625,92625,2851
8600000US92626,92626,1979
8600000US92627,92627,1769
8600000US92629,92629,2039
8600000US92630,92630,1942
8600000US92637,92637,1755
8600000US92646,92646,2114
8600000US92647,92647,1907
8600000US92648,92648,1833
8600000US92649,92649,1884
8600000US92651,92651,2335
8600000US92653,92653,2133
8600000US92655,92655,1371
8600000US92656,92656,2240
8600000US92657,92657,2623
8600000US92660,92660,2437
8600000US92661,92661,1942
8600000US92662,92662,2149
8600000US92663,92663,1916
8600000US92672,92672,1830
8600000US92673,92673,2383
8600000US92675,92675,2052
8600000US92676,92676,2066
8600000US92677,92677,2265
8600000US92678,92678,1875
8600000US92679,92679,2441
8600000US92683,92683,1583
8600000US92688,92688,2060
8600000US92691,92691,2196
8600000US92692,92692,2237
8600000US92694,92694,2439
8600000US92701,92701,1313
8600000US92703,92703,1587
8600000US92704,92704,1696
8600000US92705,92705,1733
8600000US92706,92706,1452
8600000US92707,92707,1697
8600000US92708,92708,2010
8600000US92780,92780,1718
8600000US92782,92782,2383
8600000US92801,92801,1606
8600000US92802,92802,1488
8600000US92804,92804,1612
8600000US92805,92805,1556
8600000US92806,92806,1821
8600000US92807,92807,2135
8600000US92808,92808,2240
8600000US92821,92821,1828
8600000US92823,92823,3036
8600000US92831,92831,1653
8600000US92832,92832,1571
8600000US92833,92833,1724
8600000US92835,92835,1842
8600000US92840,92840,1634
8600000US92841,92841,1503
8600000US92843,92843,1487
8600000US92844,92844,1635
8600000US92845,92845,1950
8600000US92860,92860,1892
8600000US92861,92861,"3,500+"
8600000US92865,92865,1857
8600000US92866,92866,1617
8600000US92867,92867,1772
8600000US92868,92868,1887
8600000US92869,92869,1866
8600000US92870,92870,1796
8600000US92879,92879,1617
8600000US92880,92880,2316
8600000US92881,92881,1566
8600000US92882,92882,1593
8600000US92883,92883,2391
8600000US92886,92886,2298
8600000US92887,92887,1931
8600000US93001,93001,1426
8600000US93003,93003,1738
8600000US93004,93004,1737
8600000US93010,93010,1857
8600000US93012,93012,2201
8600000US93013,93013,1975
8600000US93015,93015,1418
8600000US93021,93021,2047
8600000US93022,93022,1526
8600000US93023,93023,1561
8600000US93030,93030,1425
8600000US93033,93033,1527
8600000US93035,93035,2073
8600000US93036,93036,1683
8600000US93040,93040,1128
8600000US93041,93041,1707
8600000US93042,93042,-
8600000US93043,93043,-
8600000US93060,93060,1266
8600000US93063,93063,1919
8600000US93064,93064,-
8600000US93065,93065,2090
8600000US93066,93066,1409
8600000US93067,93067,3204
8600000US93101,93101,1640
8600000US93103,93103,1979
8600000US93105,93105,1890
8600000US93108,93108,2414
8600000US93109,93109,1994
8600000US93110,93110,1957
8600000US93111,93111,2227
8600000US93117,93117,1725
8600000US93201,93201,835
8600000US93202,93202,1073
8600000US93203,93203,899
8600000US93204,93204,856
8600000US93205,93205,844
8600000US93206,93206,945
8600000US93207,93207,-
8600000US93208,93208,-
8600000US93210,93210,874
8600000US93212,93212,838
8600000US93215,93215,905
8600000US93218,93218,792
8600000US93219,93219,738
8600000US93220,93220,-
8600000US93221,93221,901
8600000US93222,93222,1321
8600000US93223,93223,718
8600000US93224,93224,1031
8600000US93225,93225,846
8600000US93226,93226,-
8600000US93230,93230,973
8600000US93234,93234,714
8600000US93235,93235,788
8600000US93238,93238,672
8600000US93239,93239,769
8600000US93240,93240,863
8600000US93241,93241,813
8600000US93242,93242,901
8600000US93243,93243,1005
8600000US93244,93244,850
8600000US93245,93245,1156
8600000US93247,93247,735
8600000US93249,93249,691
8600000US93250,93250,900
8600000US93251,93251,506
8600000US93252,93252,795
8600000US93254,93254,972
8600000US93255,93255,-
8600000US93256,93256,874
8600000US93257,93257,933
8600000US93258,93258,810
8600000US93260,93260,-
8600000US93261,93261,710
8600000US93262,93262,-
8600000US93263,93263,881
8600000US93265,93265,1094
8600000US93266,93266,1134
8600000US93267,93267,847
8600000US93268,93268,779
8600000US93270,93270,808
8600000US93271,93271,1305
8600000US93272,93272,911
8600000US93274,93274,1036
8600000US93276,93276,630
8600000US93277,93277,1018
8600000US93280,93280,757
8600000US93283,93283,578
8600000US93285,93285,948
8600000US93286,93286,700
8600000US93287,93287,-
8600000US93291,93291,994
8600000US93292,93292,1136
8600000US93301,93301,858
8600000US93304,93304,952
8600000US93305,93305,796
8600000US93306,93306,1032
8600000US93307,93307,960
8600000US93308,93308,1004
8600000US93309,93309,1011
8600000US93311,93311,1459
8600000US93312,93312,1578
8600000US93313,93313,1558
8600000US93314,93314,1332
8600000US93401,93401,1457
8600000US93402,93402,1516
8600000US93405,93405,1684
8600000US93410,93410,-
8600000US93420,93420,1494
8600000US93422,93422,1423
8600000US93424,93424,-
8600000US93426,93426,886
8600000US93427,93427,1713
8600000US93428,93428,1463
8600000US93429,93429,-
8600000US93430,93430,1254
8600000US93432,93432,-
8600000US93433,93433,1481
8600000US93434,93434,1209
8600000US93436,93436,1237
8600000US93437,93437,1874
8600000US93440,93440,1669
8600000US93441,93441,2041
8600000US93442,93442,1556
8600000US93444,93444,1563
8600000US93445,93445,1291
8600000US93446,93446,1253
8600000US93449,93449,1774
8600000US93450,93450,1000
8600000US93451,93451,1632
8600000US93452,93452,1111
8600000US93453,93453,1198
8600000US93454,93454,1365
8600000US93455,93455,1808
8600000US93458,93458,1361
8600000US93460,93460,1481
8600000US93461,93461,1651
8600000US93463,93463,1525
8600000US93465,93465,1710
8600000US93501,93501,721
8600000US93505,93505,968
8600000US93510,93510,1488
8600000US93512,93512,-
8600000US93513,93513,830
8600000US93514,93514,987
8600000US93516,93516,703
8600000US93517,93517,-
8600000US93518,93518,1031
8600000US93519,93519,-
8600000US93522,93522,-
8600000US93523,93523,1556
8600000US93524,93524,-
