Geo ID,Geographic Area Name,Median contract rent
8600000US91601,ZCTA5 91601,1426
8600000US91602,ZCTA5 91602,1652
8600000US91604,ZCTA5 91604,1842
8600000US91605,ZCTA5 91605,1235
8600000US91606,ZCTA5 91606,1205
8600000US91607,ZCTA5 91607,1487
8600000US91608,ZCTA5 91608,-
8600000US91701,ZCTA5 91701,1643
8600000US91702,ZCTA5 91702,1355
8600000US91706,ZCTA5 91706,1354
8600000US91708,ZCTA5 91708,2045
8600000US91709,ZCTA5 91709,1945
8600000US91710,ZCTA5 91710,1425
8600000US91711,ZCTA5 91711,1464
8600000US91722,ZCTA5 91722,1436
8600000US91723,ZCTA5 91723,1329
8600000US91724,ZCTA5 91724,1595
8600000US91730,ZCTA5 91730,1615
8600000US91731,ZCTA5 91731,1111
8600000US91732,ZCTA5 91732,1218
8600000US91733,ZCTA5 91733,1228
8600000US91737,ZCTA5 91737,1738
8600000US91739,ZCTA5 91739,1749
8600000US91740,ZCTA5 91740,1530
8600000US91741,ZCTA5 91741,1656
8600000US91744,ZCTA5 91744,1367
8600000US91745,ZCTA5 91745,1744
8600000US91746,ZCTA5 91746,1295
8600000US91748,ZCTA5 91748,1516
8600000US91750,ZCTA5 91750,1402
8600000US91752,ZCTA5 91752,1271
8600000US91754,ZCTA5 91754,1256
8600000US91755,ZCTA5 91755,1394
8600000US91759,ZCTA5 91759,1360
8600000US91761,ZCTA5 91761,1435
8600000US91762,ZCTA5 91762,1198
8600000US91763,ZCTA5 91763,1300
8600000US91764,ZCTA5 91764,1424
8600000US91765,ZCTA5 91765,1904
8600000US91766,ZCTA5 91766,1281
8600000US91767,ZCTA5 91767,1261
8600000US91768,ZCTA5 91768,1167
8600000US91770,ZCTA5 91770,1313
8600000US91773,ZCTA5 91773,1707
8600000US91775,ZCTA5 91775,1489
8600000US91776,ZCTA5 91776,1377
8600000US91780,ZCTA5 91780,1547
8600000US91784,ZCTA5 91784,2157
8600000US91786,ZCTA5 91786,1302
8600000US91789,ZCTA5 91789,2138
8600000US91790,ZCTA5 91790,1515
8600000US91791,ZCTA5 91791,1479
8600000US91792,ZCTA5 91792,1627
8600000US91801,ZCTA5 91801,1389
8600000US91803,ZCTA5 91803,1324
8600000US91901,ZCTA5 91901,1442
8600000US91902,ZCTA5 91902,1785
8600000US91905,ZCTA5 91905,620
8600000US91906,ZCTA5 91906,890
8600000US91910,ZCTA5 91910,1368
8600000US91911,ZCTA5 91911,1432
8600000US91913,ZCTA5 91913,2097
8600000US91914,ZCTA5 91914,2240
8600000US91915,ZCTA5 91915,2277
8600000US91916,ZCTA5 91916,-
8600000US91917,ZCTA5 91917,-
8600000US91931,ZCTA5 91931,-
8600000US91932,ZCTA5 91932,1377
8600000US91934,ZCTA5 91934,-
8600000US91935,ZCTA5 91935,1331
8600000US91941,ZCTA5 91941,1436
8600000US91942,ZCTA5 91942,1465
8600000US91945,ZCTA5 91945,1266
8600000US91948,ZCTA5 91948,-
8600000US91950,ZCTA5 91950,1097
8600000US91962,ZCTA5 91962,1344
8600000US91963,ZCTA5 91963,-
8600000US91977,ZCTA5 91977,1338
8600000US91978,ZCTA5 91978,1687
8600000US91980,ZCTA5 91980,-
8600000US92003,ZCTA5 92003,1741
8600000US92004,ZCTA5 92004,722
8600000US92007,ZCTA5 92007,1995
8600000US92008,ZCTA5 92008,1810
8600000US92009,ZCTA5 92009,2032
8600000US92010,ZCTA5 92010,2042
8600000US92011,ZCTA5 92011,2218
8600000US92014,ZCTA5 92014,2245
8600000US92019,ZCTA5 92019,1546
8600000US92020,ZCTA5 92020,1258
8600000US92021,ZCTA5 92021,1313
8600000US92024,ZCTA5 92024,1886
8600000US92025,ZCTA5 92025,1274
8600000US92026,ZCTA5 92026,1442
8600000US92027,ZCTA5 92027,1310
8600000US92028,ZCTA5 92028,1178
8600000US92029,ZCTA5 92029,1732
8600000US92036,ZCTA5 92036,1053
8600000US92037,ZCTA5 92037,1939
8600000US92040,ZCTA5 92040,1317
8600000US92054,ZCTA5 92054,1429
8600000US92055,ZCTA5 92055,2902
8600000US92056,ZCTA5 92056,1778
8600000US92057,ZCTA5 92057,1771
8600000US92058,ZCTA5 92058,1957
8600000US92059,ZCTA5 92059,1063
8600000US92060,ZCTA5 92060,-
8600000US92061,ZCTA5 92061,-
8600000US92064,ZCTA5 92064,1566
8600000US92065,ZCTA5 92065,1382
8600000US92066,ZCTA5 92066,1050
8600000US92067,ZCTA5 92067,2628
8600000US92069,ZCTA5 92069,1468
8600000US92070,ZCTA5 92070,386
8600000US92071,ZCTA5 92071,1647
