id,Geographic Area Name,Total,Median income,Mean income
8600000US91016,ZCTA5 91016,14318,87990,111110
8600000US91020,ZCTA5 91020,3524,90947,102352
8600000US91024,ZCTA5 91024,4664,129331,174691
8600000US91030,ZCTA5 91030,9815,133077,190212
8600000US91040,ZCTA5 91040,7339,101866,116525
8600000US91042,ZCTA5 91042,9961,77164,91708
8600000US91046,ZCTA5 91046,95,-,44398
8600000US91101,ZCTA5 91101,10739,89479,109911
8600000US91103,ZCTA5 91103,8515,78405,133401
8600000US91104,ZCTA5 91104,13164,95171,126174
8600000US91105,ZCTA5 91105,5505,161094,217086
8600000US91106,ZCTA5 91106,10665,107000,153394
8600000US91107,ZCTA5 91107,12466,119564,161648
8600000US91108,ZCTA5 91108,4582,183272,250632
8600000US91201,ZCTA5 91201,8309,72223,104825
8600000US91202,ZCTA5 91202,8903,94431,119563
8600000US91203,ZCTA5 91203,6110,67353,89207
8600000US91204,ZCTA5 91204,6485,49882,69910
8600000US91205,ZCTA5 91205,14382,52857,74676
8600000US91206,ZCTA5 91206,13372,84417,108279
8600000US91207,ZCTA5 91207,4081,104667,161136
8600000US91208,ZCTA5 91208,5855,137420,179921
8600000US91210,ZCTA5 91210,228,145417,166599
8600000US91214,ZCTA5 91214,10357,121814,141157
8600000US91301,ZCTA5 91301,9295,146599,208467
8600000US91302,ZCTA5 91302,9488,155714,254988
8600000US91303,ZCTA5 91303,10097,64744,81839
8600000US91304,ZCTA5 91304,17508,76358,106006
8600000US91306,ZCTA5 91306,14654,76824,93032
8600000US91307,ZCTA5 91307,8650,134989,161763
8600000US91311,ZCTA5 91311,14283,100405,130403
8600000US91316,ZCTA5 91316,12409,95287,138046
8600000US91320,ZCTA5 91320,14971,135067,164008
8600000US91321,ZCTA5 91321,10781,86867,105336
8600000US91324,ZCTA5 91324,10012,101493,116882
8600000US91325,ZCTA5 91325,11920,90128,119822
8600000US91326,ZCTA5 91326,12778,131485,163590
8600000US91330,ZCTA5 91330,0,-,-
8600000US91331,ZCTA5 91331,23447,66043,80598
