,Company,TradeName,Address,ZipCode,DunsNumber,HQDuns,HQTradeName,Subsidiary,Latitude,Longitude,SIC2,SIC4,SIC8,Industry,IndustryGroup,YearStart,OutofBis,FirstYear,LastYear,Minority,WomenOwned,Sales90,SalesC90,Sales91,SalesC91,Sales92,SalesC92,Sales93,SalesC93,Sales94,SalesC94,Sales95,SalesC95,Sales96,SalesC96,Sales97,SalesC97,Sales98,SalesC98,Sales99,SalesC99,Sales00,SalesC00,Sales01,SalesC01,Sales02,SalesC02,Sales03,SalesC03,Sales04,SalesC04,Sales05,SalesC05,Sales06,SalesC06,Sales07,SalesC07,Sales08,SalesC08,Sales09,SalesC09,Sales10,SalesC10,Sales11,SalesC11,Sales12,SalesC12,Sales13,SalesC13,Sales14,SalesC14,DnBRating91,DnBRating92,DnBRating93,DnBRating94,DnBRating95,DnBRating96,DnBRating97,DnBRating98,DnBRating99,DnBRating00,DnBRating01,DnBRating02,DnBRating03,DnBRating04,DnBRating05,DnBRating06,DnBRating07,DnBRating08,DnBRating09,DnBRating10,DnBRating11,DnBRating12,DnBRating13,DnBRating14
134308,MELKAM ETHIOPIAN RESTAURANT,NA,3182 W PICO BLVD,90019,42950516,42950516,NA,N,34.0454,118.3396,58,5812,58120100,Ethnic food restaurants,Eating and Drinking Places,2010,NA,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+05,3,3.00E+05,3,311100,3,330600,3,374500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134359,VIP HARBOR SEAFOOD RESTAURANT,NA,11701 WILSHIRE BLVD STE 2,90025,42963442,42963442,NA,N,34.0494,118.4611,58,5812,58120700,Seafood restaurants,Eating and Drinking Places,1995,NA,1995,2012,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93800,3,96000,3,1.00E+05,3,1.00E+05,3,102800,3,102800,3,100500,3,101400,3,1088000,3,1066700,3,1066700,3,1066700,3,1066700,3,1066700,3,1066700,3,1066700,3,1066700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,--,--,--,--,--,--,--,--,--,NA,NA
134490,9TH STREET PIZZA,NA,231 E 9TH ST,90015,42997434,42997434,NA,N,34.0416,118.2653,58,5812,58120600,Pizza restaurants,Eating and Drinking Places,2010,NA,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,3,50000,3,50000,3,50000,3,50000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,NA
134682,EL JARRITO,EL JARRITO MEXICAN REST & DELI,2833 W OLYMPIC BLVD,90006,43106798,43106798,EL JARRITO MEXICAN REST & DELI,N,34.0528,118.2955,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1950,NA,1989,2014,NA,NA,685100,3,715100,3,721200,3,751200,3,751200,3,751200,3,751200,3,763200,3,766200,3,769200,3,772200,3,586700,3,593400,3,650000,0,650000,0,650000,0,650000,0,650000,0,650000,0,650000,0,650000,3,650000,0,650000,0,650000,0,650000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,NA,--,--,--,--
134717,3545 WILSHIRE LLC,NA,3424 WILSHIRE BLVD,90010,43150546,43150546,NA,N,34.0616,118.2982,58,5812,58120105,German restaurant,Eating and Drinking Places,2011,NA,2011,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262500,3,260000,3,262500,3,262500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134852,CAHUENGA INC,SHARKYS MEXICAN GRILL,3439 CAHUENGA BLVD W,90068,43296313,43296313,SHARKYS MEXICAN GRILL,N,34.1321,118.3533,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1996,NA,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694400,3,725000,3,750000,0,750000,0,750000,0,750000,0,750000,0,750000,3,750000,3,750000,3,750000,3,750000,3,750000,3,750000,3,620000,2,630000,2,630000,2,640000,2,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,1R2,1R3,1R3,1R3,1R3,1R3,1R4,1R4,1R3,1R3
134906,DI VENETO,NA,5082 W PICO BLVD,90019,43311172,43311172,NA,N,34.0478,118.3487,58,5812,58120108,Italian restaurant,Eating and Drinking Places,2010,NA,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333300,3,333300,3,333300,3,333300,3,333300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135057,C T C FOOD OUTLET,NA,11901 AINSWORTH ST,90044,43379184,43379184,NA,N,33.925,118.2902,58,5812,58120302,Carry-out only (except pizza) restaurant,Eating and Drinking Places,NA,NA,2005,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333300,3,347500,3,347500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,NA,NA,NA,NA,NA,NA
135074,BYRON GARCIA TELON,BYRON T TRUCKING,1420 E 109TH ST,90059,43388614,43388614,BYRON T TRUCKING,N,33.9278,118.2514,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,2010,NA,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298800,3,288000,3,285700,3,297100,3,288000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135163,MR PIZZA EXPRESS,NA,735 E 12TH ST STE 406,90021,43448175,43448175,NA,N,34.0333,118.2521,58,5812,58120600,Pizza restaurants,Eating and Drinking Places,2013,NA,2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214300,3,214300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135238,BURGER KING,BURGER KING,4410 S FIGUEROA ST,90037,43522235,43522235,BURGER KING,N,34.0027,118.2865,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,2011,NA,2011,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,787500,3,801000,3,810000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS
135278,DENNIS KITCHEN INC,CORAL REEF SEAFOOD RESTAURANT,3200 GLENDALE BLVD,90039,43551183,43551183,CORAL REEF SEAFOOD RESTAURANT,N,34.1175,118.2609,58,5812,58120700,Seafood restaurants,Eating and Drinking Places,1968,NA,1989,2012,NA,NA,5.00E+05,0,5.00E+05,0,5.00E+05,0,5.00E+05,0,5.00E+05,0,5.00E+05,0,5.00E+05,0,524100,3,547100,3,566000,3,566000,3,566000,3,566000,3,566000,3,566000,3,566000,3,566000,3,283000,3,283000,3,283000,3,283000,3,340000,2,340000,2,NA,NA,NA,NA,1R3,1R3,1R3,1R3,1R3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA
135313,NY PIZZA CO INC,LAMONICAS NY PIZZA,1066 GAYLEY AVE,90024,43585298,43585298,LAMONICAS NY PIZZA,N,34.0609,118.4468,58,5812,58120600,Pizza restaurants,Eating and Drinking Places,1980,NA,1989,2014,NA,NA,252100,3,711100,3,711100,3,711100,3,716400,3,917900,3,942200,3,839500,3,876400,3,960000,3,960000,3,960000,0,960000,0,960000,0,960000,0,960000,0,960000,3,960000,3,960000,3,960000,3,960000,3,760000,2,760000,2,760000,2,760000,2,--,--,--,--,--,1R3,1R3,1R3,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2
135365,RICARDOS ON THE BEACH INC,DINAHS FAMILY RESTAURANT,6521 S SEPULVEDA BLVD,90045,43656946,878768787,RICARDOS EL RANCHITO,N,33.9805,118.3948,58,5812,58120500,Family restaurants,Eating and Drinking Places,NA,NA,1998,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2266700,3,2226200,3,2231300,3,2266700,3,2190400,3,2236800,3,2266700,3,2307100,3,2266700,3,2318200,3,2380000,3,2392000,3,1687500,3,1714300,3,1714300,3,1714300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135470,BEIJING GROUP 168 INC,NA,12239 SANTA MONICA BLVD,90025,43768748,43768748,NA,N,34.0399,118.4649,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,2012,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+05,3,311100,3,320000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135502,KING HUA RESTAURANT,NA,2965 W OLYMPIC BLVD,90006,43801935,43801935,NA,N,34.048,118.2932,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1980,NA,1989,1998,NA,NA,5.00E+05,0,526000,3,538000,3,550000,3,556000,3,570000,3,584000,3,6.00E+05,3,6.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135512,DAISUKE RESTAURANT LLC,NA,123 ASTRONT E S ONIZKA ST,90012,43811269,43811269,NA,N,34.05,118.242,58,5812,58120101,American restaurant,Eating and Drinking Places,NA,NA,2004,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160000,3,170000,3,160000,3,173300,3,175000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,NA,NA,NA,NA,NA
135547,SBARRO S,NA,254 S BROADWAY,90012,43835944,43835944,NA,N,34.0516,118.2473,58,5812,58120108,Italian restaurant,Eating and Drinking Places,2010,NA,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366700,3,366700,3,366700,3,366700,3,366700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135633,NIFTY DENNY INC,NA,4892 WIOTA ST,90041,43897608,43897608,NA,N,34.1341,118.2099,58,5812,58120501,"Restaurant, family: chain",Eating and Drinking Places,2013,NA,2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198700,3,213300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135656,TASTY HOUSE SEAFOOD & BBQ INC,NA,4808 MELROSE AVE,90029,43909970,43909970,NA,N,34.0898,118.294,58,5812,58120801,Barbecue restaurant,Eating and Drinking Places,2012,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330000,3,346700,3,4.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135791,LEMONADE AT MOCA,NA,250 S GRAND AVE,90012,44011576,44011576,NA,N,34.0536,118.2503,58,5812,58120500,Family restaurants,Eating and Drinking Places,2010,NA,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266700,3,266700,3,269300,3,285700,3,269300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135968,AMKO FIXTURES & SEATING CO,NA,7106 AVALON BLVD,90003,44103822,44103822,NA,N,33.9753,118.265,50,5046,50460306,"Restaurant equipment and supplies, nec",Professional & Commercial Equipment,2010,NA,2010,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266700,3,260000,3,266700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,NA
136258,K F C WESTERN INC,NA,340 N WESTERN AVE,90004,44403046,44403046,NA,N,34.0774,118.3089,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,1965,NA,1989,2014,NA,NA,443300,3,461400,3,475000,3,475000,3,494000,3,498200,3,506700,3,511500,3,514600,3,532000,3,542900,3,548400,3,570000,3,570000,3,6.00E+05,3,1809300,3,3066700,3,3.00E+06,3,3.00E+06,3,2944400,3,2916700,3,2933300,3,2916700,3,2966700,3,3.00E+06,3,--,--,--,--,--,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R3,NA,1R3,1R3,1R3,--,--,--,--,--,--
136347,ROTEX YESOO RESTAURANT,NA,3411 W OLYMPIC BLVD,90019,44423411,44423411,NA,N,34.0527,118.3124,58,5812,58120110,Korean restaurant,Eating and Drinking Places,2001,NA,2001,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390000,3,390000,3,390000,3,390000,3,390000,3,390000,3,390000,3,390000,3,390000,3,390000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,NA,NA,NA
136387,WINDSOR RESTAURANT INC,WINDSOR CONTINENTAL,3198 W 7TH ST,90005,44435303,44435303,WINDSOR CONTINENTAL,N,34.0596,118.2927,58,5812,58120101,American restaurant,Eating and Drinking Places,1967,NA,1989,1992,NA,NA,1200000,0,8.00E+05,0,8.00E+05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136423,LUBERSKI INC,NA,689 MESQUIT ST,90021,44461421,44461421,NA,N,34.0349,118.2292,87,8742,87420407,Restaurant and food services consultants,Management and Public Relations,2012,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83300,3,1.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS
136488,BRIX PIZZA,NA,708 W FLORENCE AVE,90044,44526367,44526367,NA,N,33.9745,118.2862,58,5812,58120600,Pizza restaurants,Eating and Drinking Places,2012,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704200,3,713100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS
136925,MC DONALDS RESTAURANT,MCDONALDS,4000 S FIGUEROA ST,90037,44852684,44852684,MCDONALDS,N,34.0109,118.2825,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,2001,NA,2001,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286900,3,3.00E+05,3,315400,3,320000,3,322800,3,352900,3,342000,3,342900,3,330000,3,334300,3,321400,3,334300,3,337500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--
137008,Z PIZZA,NA,123 N LARCHMONT BLVD,90004,44856826,44856826,NA,N,34.0734,118.3238,58,5812,58120600,Pizza restaurants,Eating and Drinking Places,2001,NA,2001,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180000,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,DS,DS,DS
137045,KAVAR MEDITERRANIAN CUISINE,NA,4777 SANTA MONICA BLVD,90029,44859416,44859416,NA,N,34.0909,118.2933,58,5812,58120100,Ethnic food restaurants,Eating and Drinking Places,1999,NA,1999,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112500,3,131300,3,135000,3,130000,3,125000,3,120000,3,120000,3,116700,3,123200,3,129800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,NA,NA,NA,NA,NA
137062,HODORI TERIYAKI RESTAURANT,NA,3131 W PICO BLVD,90019,44860695,44860695,NA,N,34.0473,118.3097,58,5812,58120100,Ethnic food restaurants,Eating and Drinking Places,NA,NA,2006,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155600,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,NA,NA,NA,NA,NA
137140,ISLAND PRODUCTIONS INC,NA,629 E EL SEGUNDO BLVD,90059,44880487,44880487,NA,N,33.9165,118.2646,87,8741,87419905,Restaurant management,Management and Public Relations,1998,NA,1998,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671300,3,680800,3,690400,3,7.00E+05,3,7.00E+05,3,7.00E+05,3,665000,3,630000,3,595000,3,560000,3,560000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,--,--,--,NA,NA,NA,NA,--,--,NA,NA,NA,NA,NA
137141,PALSAIK KOREAN BBQ,NA,863 S WESTERN AVE,90005,44885188,44885188,NA,N,34.0566,118.3092,58,5812,58120801,Barbecue restaurant,Eating and Drinking Places,2011,NA,2011,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342900,3,330000,3,346700,3,4.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137399,CREPES PLUS KITCHEN,NA,5223 WILSHIRE BLVD,90036,45101538,45101538,NA,N,34.0623,118.3431,58,5812,58120500,Family restaurants,Eating and Drinking Places,2012,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269300,3,285700,3,269300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137401,SUSHI YE,NA,244 S OXFORD AVE,90004,45101742,45101742,NA,N,34.0701,118.3077,58,5812,58120700,Seafood restaurants,Eating and Drinking Places,2012,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333300,3,333300,3,320000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137938,COLIMAS TACO,NA,3916 N FIGUEROA ST,90065,45401770,45401770,NA,N,34.0913,118.2108,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1997,NA,1997,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65000,3,66700,3,66700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138022,PF CHANGS CHINA BISTRO INC,NA,121 N LA CIENEGA BLVD,90048,45487639,78538577,NA,N,34.0737,118.3766,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,NA,NA,2003,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333300,3,2333300,3,2333300,3,2450000,3,2333300,3,2333300,3,2450000,3,2333300,3,2337200,3,2450000,3,2500000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138122,RHEEKIM METAL PRODUCTS INC,RABCO METAL PRODUCTS,417 E 15TH ST,90015,45534070,45534070,RABCO METAL PRODUCTS,N,34.0325,118.2585,25,2599,25990200,"Bar, restaurant and cafeteria furniture",Miscellaneous Furniture and Fixtures,1968,NA,1989,1994,NA,NA,3500000,0,2871200,3,3025500,3,2880200,3,2930100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138186,LARRYS JAMAICAN RESTAURANT,NA,6046 CADILLAC AVE APT 8,90034,45549785,45549785,NA,N,34.0266,118.4041,58,5812,58120100,Ethnic food restaurants,Eating and Drinking Places,2011,NA,2011,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385700,3,4.00E+05,3,425000,3,481500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138189,PAULS KITCHENS ENTERPRISES,NA,1012 S SAN PEDRO ST,90015,45550290,45550290,NA,N,34.0356,118.2516,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1958,NA,1989,2014,NA,NA,421100,3,426700,3,440000,3,448000,3,457100,3,457100,3,470600,3,480000,3,480000,3,510600,3,512000,3,533300,3,533300,3,533300,3,533300,3,533300,3,533300,3,560000,3,533300,3,533300,3,560000,3,533300,3,534200,3,560000,3,571400,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--
