,Company,TradeName,Address,ZipCode,DunsNumber,HQDuns,HQTradeName,Subsidiary,Latitude,Longitude,SIC2,SIC4,SIC8,Industry,IndustryGroup,YearStart,OutofBis,FirstYear,LastYear,Minority,WomenOwned,Sales90,SalesC90,Sales91,SalesC91,Sales92,SalesC92,Sales93,SalesC93,Sales94,SalesC94,Sales95,SalesC95,Sales96,SalesC96,Sales97,SalesC97,Sales98,SalesC98,Sales99,SalesC99,Sales00,SalesC00,Sales01,SalesC01,Sales02,SalesC02,Sales03,SalesC03,Sales04,SalesC04,Sales05,SalesC05,Sales06,SalesC06,Sales07,SalesC07,Sales08,SalesC08,Sales09,SalesC09,Sales10,SalesC10,Sales11,SalesC11,Sales12,SalesC12,Sales13,SalesC13,Sales14,SalesC14,DnBRating91,DnBRating92,DnBRating93,DnBRating94,DnBRating95,DnBRating96,DnBRating97,DnBRating98,DnBRating99,DnBRating00,DnBRating01,DnBRating02,DnBRating03,DnBRating04,DnBRating05,DnBRating06,DnBRating07,DnBRating08,DnBRating09,DnBRating10,DnBRating11,DnBRating12,DnBRating13,DnBRating14
215627,HOMES CORPORATION,HYMIES FISH MKT & SEAFOOD REST,9228 W PICO BLVD,90035,87186110,87186110,HYMIES FISH MKT & SEAFOOD REST,N,34.0551,118.3926,58,5812,58120500,Family restaurants,Eating and Drinking Places,1930,NA,1989,1998,Y,NA,711100,3,6.00E+05,3,536800,3,558100,3,560000,3,570000,3,564700,3,580600,3,6.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215652,GOURMET RESTAURANT INC,GIOS,7574 W SUNSET BLVD,90046,87188611,87188611,GIOS,N,34.0978,118.3544,58,5812,58120302,Carry-out only (except pizza) restaurant,Eating and Drinking Places,1977,NA,1989,1995,NA,NA,450000,3,440000,3,454500,3,461500,3,459800,3,423400,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215718,521 S UNION DRIVE LLC,NA,7759 TOLAND AVE,90045,87412487,87412487,NA,N,33.9667,118.3757,58,5812,58120306,Drive-in restaurant,Eating and Drinking Places,NA,NA,2006,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+05,3,3.00E+05,3,253800,3,275000,3,256700,3,256100,3,250900,3,275000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,NA,NA,NA,NA,NA,NA
215937,MEXICAN AMERICAN FOUNDATION,NA,330 S FORD BLVD,90022,87851635,87851635,NA,N,34.0321,118.1689,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,2001,NA,2001,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514300,3,525000,3,540000,3,450000,3,450000,3,441200,3,439800,3,441200,3,450000,3,450000,3,450000,3,450000,3,450000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS
216333,TO FUNG,NA,5230 SUMNER AVE,90041,88155481,88155481,NA,N,34.1433,118.2245,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,2001,NA,2001,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,3,42500,3,42500,3,40000,3,36000,3,35000,3,33400,3,35000,3,33500,3,35000,3,35000,3,35000,3,35000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS
216345,V & S MEXICAN FOOD INC,NA,2041 HAWKINS CIR,90001,88162933,88162933,NA,N,33.9757,118.2354,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,2001,NA,2001,2014,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342900,3,350000,3,360000,3,360000,3,360000,3,352900,3,351900,3,352900,3,360000,3,360000,3,360000,3,360000,3,360000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--
216411,TANTRA ONE LLC,NA,3705 W SUNSET BLVD,90026,88187195,88187195,NA,N,34.0907,118.2778,58,5812,58120107,Indian/Pakistan restaurant,Eating and Drinking Places,NA,NA,2005,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360000,3,360000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,NA,NA,NA,NA,NA,NA,NA
216638,CAFE CONNECTION CENTURY CITY,NA,1888 CENTURY PARK E,90067,88330167,88330167,NA,N,34.0613,118.4142,58,5812,58120300,Fast food restaurants and stands,Eating and Drinking Places,1998,NA,1998,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180000,3,180000,3,180000,3,180000,3,180000,3,5.00E+05,0,5.00E+05,0,5.00E+05,0,5.00E+05,0,5.00E+05,3,5.00E+05,3,555000,3,260000,2,260000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,--,--,--,--,--,--,--,--,--,--,--,NA,NA
216711,FISH TALE,JOHN BLOESER CARPET ONE,1325 CHANNING ST,90021,88377528,88377528,JOHN BLOESER CARPET ONE,N,34.0268,118.2382,58,5812,58120700,Seafood restaurants,Eating and Drinking Places,1977,NA,1989,2014,NA,NA,3970700,3,3500000,0,3500000,0,2500000,0,2480000,3,2400000,3,2400000,3,2320000,3,638000,3,616000,3,616000,3,616000,3,672000,3,728000,3,728000,3,728000,3,728000,3,728000,3,728000,3,728000,3,712900,3,910000,3,1090323,3,1090323,3,1090323,3,--,--,--,--,--,--,1R3,1R3,1R3,1R3,1R3,NA,1R3,1R3,1R3,1R3,1R3,1R3,1R3,1R2,1R3,1R3,1R3,1R3
216809,JML ENTERPRISES INC,GALA RESTAURANT,930 S ALAMEDA ST,90021,88396791,88396791,GALA RESTAURANT,N,34.0265,118.2389,58,5812,58120101,American restaurant,Eating and Drinking Places,1965,NA,1989,1996,NA,NA,453800,3,480000,0,480000,0,553000,1,5.00E+05,0,4.00E+05,1,4.00E+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
