id,Geographic Area Name,Total
8600000US91916,ZCTA5 91916,1939
8600000US91917,ZCTA5 91917,986
8600000US91931,ZCTA5 91931,613
8600000US91932,ZCTA5 91932,26492
8600000US91934,ZCTA5 91934,323
8600000US91935,ZCTA5 91935,8550
8600000US91941,ZCTA5 91941,31918
8600000US91942,ZCTA5 91942,40151
8600000US91945,ZCTA5 91945,27236
8600000US91948,ZCTA5 91948,130
8600000US91950,ZCTA5 91950,62859
8600000US91962,ZCTA5 91962,2106
8600000US91963,ZCTA5 91963,1182
8600000US91977,ZCTA5 91977,64750
8600000US91978,ZCTA5 91978,10506
8600000US91980,ZCTA5 91980,0
8600000US92003,ZCTA5 92003,5160
8600000US92004,ZCTA5 92004,2299
8600000US92007,ZCTA5 92007,11417
8600000US92008,ZCTA5 92008,27151
8600000US92009,ZCTA5 92009,46612
8600000US92010,ZCTA5 92010,16346
8600000US92011,ZCTA5 92011,24144
8600000US92014,ZCTA5 92014,13568
8600000US92019,ZCTA5 92019,43272
8600000US92020,ZCTA5 92020,59743
8600000US92021,ZCTA5 92021,70148
8600000US92024,ZCTA5 92024,51381
8600000US92025,ZCTA5 92025,52985
8600000US92026,ZCTA5 92026,50321
8600000US92027,ZCTA5 92027,56788
8600000US92028,ZCTA5 92028,48173
8600000US92029,ZCTA5 92029,19382
8600000US92036,ZCTA5 92036,2593
8600000US92037,ZCTA5 92037,38168
8600000US92040,ZCTA5 92040,46306
8600000US92054,ZCTA5 92054,41807
8600000US92055,ZCTA5 92055,11765
8600000US92056,ZCTA5 92056,52337
8600000US92057,ZCTA5 92057,60414
8600000US92058,ZCTA5 92058,46029
8600000US92059,ZCTA5 92059,1464
8600000US92060,ZCTA5 92060,166
8600000US92061,ZCTA5 92061,2660
8600000US92064,ZCTA5 92064,49805
8600000US92065,ZCTA5 92065,37505
8600000US92066,ZCTA5 92066,693
8600000US92067,ZCTA5 92067,7724
8600000US92069,ZCTA5 92069,50376
8600000US92070,ZCTA5 92070,786
8600000US92071,ZCTA5 92071,57710
8600000US92075,ZCTA5 92075,12752
8600000US92078,ZCTA5 92078,50510
8600000US92081,ZCTA5 92081,29596
8600000US92082,ZCTA5 92082,18705
8600000US92083,ZCTA5 92083,39509
8600000US92084,ZCTA5 92084,51619
8600000US92086,ZCTA5 92086,1543
8600000US92091,ZCTA5 92091,1313
8600000US92101,ZCTA5 92101,41159
8600000US92102,ZCTA5 92102,44010
8600000US92103,ZCTA5 92103,34700
8600000US92104,ZCTA5 92104,45435
8600000US92105,ZCTA5 92105,73623
8600000US92106,ZCTA5 92106,20155
8600000US92107,ZCTA5 92107,31223
8600000US92108,ZCTA5 92108,22280
8600000US92109,ZCTA5 92109,47111
8600000US92110,ZCTA5 92110,30108
8600000US92111,ZCTA5 92111,50693
8600000US92113,ZCTA5 92113,58408
8600000US92114,ZCTA5 92114,68851
8600000US92115,ZCTA5 92115,64343
8600000US92116,ZCTA5 92116,33408
8600000US92117,ZCTA5 92117,56983
8600000US92118,ZCTA5 92118,22548
8600000US92119,ZCTA5 92119,24831
8600000US92120,ZCTA5 92120,30550
8600000US92121,ZCTA5 92121,4729
8600000US92122,ZCTA5 92122,48071
8600000US92123,ZCTA5 92123,32473
8600000US92124,ZCTA5 92124,32600
8600000US92126,ZCTA5 92126,82658
8600000US92127,ZCTA5 92127,49935
8600000US92128,ZCTA5 92128,51357
8600000US92129,ZCTA5 92129,54762
8600000US92130,ZCTA5 92130,56134
8600000US92131,ZCTA5 92131,34727
8600000US92132,ZCTA5 92132,0
8600000US92134,ZCTA5 92134,285
8600000US92135,ZCTA5 92135,635
8600000US92139,ZCTA5 92139,36105
8600000US92140,ZCTA5 92140,3737
8600000US92145,ZCTA5 92145,1883
8600000US92147,ZCTA5 92147,518
8600000US92154,ZCTA5 92154,88979
8600000US92155,ZCTA5 92155,456
8600000US92173,ZCTA5 92173,31000
8600000US92201,ZCTA5 92201,65726
8600000US92203,ZCTA5 92203,31140
8600000US92210,ZCTA5 92210,5138
8600000US92211,ZCTA5 92211,25056
8600000US92220,ZCTA5 92220,33525
8600000US92222,ZCTA5 92222,0
8600000US92223,ZCTA5 92223,55580
8600000US92225,ZCTA5 92225,22460
8600000US92227,ZCTA5 92227,27189
8600000US92230,ZCTA5 92230,2705
8600000US92231,ZCTA5 92231,40064
8600000US92233,ZCTA5 92233,7509
8600000US92234,ZCTA5 92234,54357
8600000US92236,ZCTA5 92236,45477
8600000US92239,ZCTA5 92239,227
8600000US92240,ZCTA5 92240,35278
8600000US92241,ZCTA5 92241,7699
8600000US92242,ZCTA5 92242,1312
8600000US92243,ZCTA5 92243,50402
8600000US92249,ZCTA5 92249,7861
8600000US92250,ZCTA5 92250,8655
8600000US92251,ZCTA5 92251,23970
8600000US92252,ZCTA5 92252,9351
8600000US92253,ZCTA5 92253,40929
8600000US92254,ZCTA5 92254,9779
8600000US92256,ZCTA5 92256,3100
8600000US92257,ZCTA5 92257,1281
8600000US92258,ZCTA5 92258,559
8600000US92259,ZCTA5 92259,121
8600000US92260,ZCTA5 92260,34660
8600000US92262,ZCTA5 92262,28618
8600000US92264,ZCTA5 92264,20072
8600000US92266,ZCTA5 92266,112
8600000US92267,ZCTA5 92267,6
8600000US92268,ZCTA5 92268,455
8600000US92270,ZCTA5 92270,18193
8600000US92273,ZCTA5 92273,2010
8600000US92274,ZCTA5 92274,15317
8600000US92275,ZCTA5 92275,2632
8600000US92276,ZCTA5 92276,6748
8600000US92277,ZCTA5 92277,23172
8600000US92278,ZCTA5 92278,4890
8600000US92280,ZCTA5 92280,0
8600000US92281,ZCTA5 92281,2591
8600000US92282,ZCTA5 92282,1372
8600000US92283,ZCTA5 92283,1684
8600000US92284,ZCTA5 92284,26182
8600000US92285,ZCTA5 92285,2430
8600000US92301,ZCTA5 92301,34250
8600000US92304,ZCTA5 92304,23
8600000US92305,ZCTA5 92305,657
8600000US92307,ZCTA5 92307,39149
8600000US92308,ZCTA5 92308,42207
8600000US92309,ZCTA5 92309,572
8600000US92310,ZCTA5 92310,9872
8600000US92311,ZCTA5 92311,33454
8600000US92313,ZCTA5 92313,12547
8600000US92314,ZCTA5 92314,11385
8600000US92315,ZCTA5 92315,5247
8600000US92316,ZCTA5 92316,28704
8600000US92320,ZCTA5 92320,8753
8600000US92321,ZCTA5 92321,1042
8600000US92322,ZCTA5 92322,672
8600000US92324,ZCTA5 92324,59972
8600000US92325,ZCTA5 92325,7948
8600000US92327,ZCTA5 92327,737
8600000US92328,ZCTA5 92328,438
8600000US92332,ZCTA5 92332,97
8600000US92333,ZCTA5 92333,392
8600000US92335,ZCTA5 92335,99306
8600000US92336,ZCTA5 92336,98346
8600000US92337,ZCTA5 92337,39240
8600000US92338,ZCTA5 92338,0
8600000US92339,ZCTA5 92339,1077
8600000US92341,ZCTA5 92341,222
8600000US92342,ZCTA5 92342,6737
8600000US92344,ZCTA5 92344,23349
8600000US92345,ZCTA5 92345,82110
8600000US92346,ZCTA5 92346,63857
8600000US92347,ZCTA5 92347,702
8600000US92352,ZCTA5 92352,5578
8600000US92354,ZCTA5 92354,22050
8600000US92356,ZCTA5 92356,6573
8600000US92358,ZCTA5 92358,722
8600000US92359,ZCTA5 92359,9170
8600000US92363,ZCTA5 92363,5348
8600000US92364,ZCTA5 92364,6
8600000US92365,ZCTA5 92365,2733
8600000US92368,ZCTA5 92368,1019
8600000US92371,ZCTA5 92371,18269
8600000US92372,ZCTA5 92372,6071
8600000US92373,ZCTA5 92373,33353
8600000US92374,ZCTA5 92374,43391
8600000US92376,ZCTA5 92376,86085
8600000US92377,ZCTA5 92377,20476
8600000US92378,ZCTA5 92378,234
8600000US92382,ZCTA5 92382,4462
8600000US92384,ZCTA5 92384,17
8600000US92385,ZCTA5 92385,216
8600000US92386,ZCTA5 92386,2248
8600000US92389,ZCTA5 92389,168
