id,Geographic Area Name,Total
8600000US92338,92338,0
8600000US92339,92339,1077
8600000US92341,92341,222
8600000US92342,92342,6737
8600000US92344,92344,23349
8600000US92345,92345,82110
8600000US92346,92346,63857
8600000US92347,92347,702
8600000US92352,92352,5578
8600000US92354,92354,22050
8600000US92356,92356,6573
8600000US92358,92358,722
8600000US92359,92359,9170
8600000US92363,92363,5348
8600000US92364,92364,6
8600000US92365,92365,2733
8600000US92368,92368,1019
8600000US92371,92371,18269
8600000US92372,92372,6071
8600000US92373,92373,33353
8600000US92374,92374,43391
8600000US92376,92376,86085
8600000US92377,92377,20476
8600000US92378,92378,234
8600000US92382,92382,4462
8600000US92384,92384,17
8600000US92385,92385,216
8600000US92386,92386,2248
8600000US92389,92389,168
8600000US92391,92391,1959
8600000US92392,92392,58393
8600000US92394,92394,34915
8600000US92395,92395,43908
8600000US92397,92397,4562
8600000US92398,92398,2195
8600000US92399,92399,54268
8600000US92401,92401,2257
8600000US92404,92404,62915
8600000US92405,92405,30112
8600000US92407,92407,68545
8600000US92408,92408,13635
8600000US92410,92410,45052
8600000US92411,92411,25650
8600000US92501,92501,21590
8600000US92503,92503,95551
8600000US92504,92504,59896
8600000US92505,92505,53282
8600000US92506,92506,46241
8600000US92507,92507,59152
8600000US92508,92508,38428
8600000US92509,92509,81383
8600000US92518,92518,1021
8600000US92530,92530,58184
8600000US92532,92532,25923
8600000US92536,92536,3076
8600000US92539,92539,4557
8600000US92543,92543,38314
8600000US92544,92544,49923
8600000US92545,92545,41879
8600000US92548,92548,7859
8600000US92549,92549,2517
8600000US92551,92551,34011
8600000US92553,92553,76102
8600000US92555,92555,44452
8600000US92557,92557,53406
8600000US92561,92561,1462
8600000US92562,92562,64286
8600000US92563,92563,69469
8600000US92567,92567,10648
8600000US92570,92570,60686
8600000US92571,92571,57622
8600000US92582,92582,17219
8600000US92583,92583,32697
8600000US92584,92584,54235
8600000US92585,92585,21907
8600000US92586,92586,19472
8600000US92587,92587,17237
8600000US92590,92590,5154
8600000US92591,92591,41609
8600000US92592,92592,84930
8600000US92595,92595,33649
8600000US92596,92596,32256
8600000US92602,92602,23238
8600000US92603,92603,19558
8600000US92604,92604,28990
8600000US92606,92606,26171
8600000US92610,92610,16360
8600000US92612,92612,33234
8600000US92614,92614,27187
8600000US92617,92617,17197
8600000US92618,92618,48997
8600000US92620,92620,52569
8600000US92624,92624,6372
8600000US92625,92625,12394
8600000US92626,92626,50605
8600000US92627,92627,63161
8600000US92629,92629,26877
8600000US92630,92630,59403
8600000US92637,92637,16053
8600000US92646,92646,55870
8600000US92647,92647,62199
8600000US92648,92648,46228
8600000US92649,92649,35278
8600000US92651,92651,24800
8600000US92653,92653,30012
8600000US92655,92655,8382
8600000US92656,92656,52268
8600000US92657,92657,9802
8600000US92660,92660,35446
8600000US92661,92661,3445
8600000US92662,92662,2519
8600000US92663,92663,21951
8600000US92672,92672,34218
8600000US92673,92673,30768
8600000US92675,92675,38803
8600000US92676,92676,2068
8600000US92677,92677,66314
8600000US92678,92678,584
8600000US92679,92679,32657
8600000US92683,92683,91105
8600000US92688,92688,44832
8600000US92691,92691,50839
8600000US92692,92692,46800
8600000US92694,92694,29570
8600000US92701,92701,55058
8600000US92703,92703,69112
8600000US92704,92704,88321
8600000US92705,92705,47298
8600000US92706,92706,35748
8600000US92707,92707,60831
8600000US92708,92708,56953
8600000US92780,92780,59499
8600000US92782,92782,23084
8600000US92801,92801,66594
8600000US92802,92802,42016
8600000US92804,92804,89915
8600000US92805,92805,74478
8600000US92806,92806,39442
8600000US92807,92807,35687
8600000US92808,92808,20483
8600000US92821,92821,37712
8600000US92823,92823,4872
8600000US92831,92831,37359
8600000US92832,92832,25837
8600000US92833,92833,52435
8600000US92835,92835,23528
8600000US92840,92840,54735
8600000US92841,92841,33754
8600000US92843,92843,46873
8600000US92844,92844,23189
8600000US92845,92845,16273
8600000US92860,92860,26849
8600000US92861,92861,5822
8600000US92865,92865,20664
8600000US92866,92866,15574
8600000US92867,92867,44655
8600000US92868,92868,27072
8600000US92869,92869,36846
8600000US92870,92870,53600
8600000US92879,92879,47872
8600000US92880,92880,69656
8600000US92881,92881,33531
8600000US92882,92882,73250
8600000US92883,92883,35933
8600000US92886,92886,50784
8600000US92887,92887,20012
8600000US93001,93001,32396
8600000US93003,93003,51629
8600000US93004,93004,31525
8600000US93010,93010,46063
8600000US93012,93012,36052
8600000US93013,93013,16652
8600000US93015,93015,17989
8600000US93021,93021,38581
8600000US93022,93022,7179
8600000US93023,93023,19895
8600000US93030,93030,58422
8600000US93033,93033,84701
8600000US93035,93035,29354
8600000US93036,93036,48162
8600000US93040,93040,1827
8600000US93041,93041,24208
8600000US93042,93042,118
8600000US93043,93043,144
8600000US93060,93060,33773
8600000US93063,93063,56458
8600000US93064,93064,0
8600000US93065,93065,71832
8600000US93066,93066,3220
8600000US93067,93067,410
8600000US93101,93101,31371
8600000US93103,93103,20538
8600000US93105,93105,28545
8600000US93108,93108,10401
8600000US93109,93109,10771
8600000US93110,93110,16849
8600000US93111,93111,17329
8600000US93117,93117,58546
8600000US93201,93201,1580
8600000US93202,93202,4273
8600000US93203,93203,22662
8600000US93204,93204,12961
8600000US93205,93205,2030
8600000US93206,93206,1704
8600000US93207,93207,256
8600000US93208,93208,106
8600000US93210,93210,18336
8600000US93212,93212,23357
8600000US93215,93215,54958
8600000US93218,93218,871
8600000US93219,93219,10285
8600000US93220,93220,65
8600000US93221,93221,14129
8600000US93222,93222,1583
8600000US93223,93223,10716
8600000US93224,93224,471
8600000US93225,93225,4782
8600000US93226,93226,121
8600000US93230,93230,67605
8600000US93234,93234,7355
8600000US93235,93235,4215
8600000US93238,93238,673
8600000US93239,93239,1246
8600000US93240,93240,6327
8600000US93241,93241,16397
8600000US93242,93242,3474
8600000US93243,93243,1532
8600000US93244,93244,308
8600000US93245,93245,38480
8600000US93247,93247,18234
8600000US93249,93249,1875
8600000US93250,93250,16191
8600000US93251,93251,202
8600000US93252,93252,2488
8600000US93254,93254,786
8600000US93255,93255,691
8600000US93256,93256,5431
8600000US93257,93257,76519
8600000US93258,93258,1952
8600000US93260,93260,226
8600000US93261,93261,2434
8600000US93262,93262,53
8600000US93263,93263,22210
8600000US93265,93265,3379
8600000US93266,93266,1337
8600000US93267,93267,6788
8600000US93268,93268,18731
8600000US93270,93270,5367
8600000US93271,93271,2479
8600000US93272,93272,4707
8600000US93274,93274,74000
8600000US93276,93276,144
8600000US93277,93277,52271
8600000US93280,93280,28138
8600000US93283,93283,2261
8600000US93285,93285,2477
8600000US93286,93286,9906
8600000US93287,93287,72
8600000US93291,93291,59270
8600000US93292,93292,42031
8600000US93301,93301,12325
8600000US93304,93304,49115
8600000US93305,93305,37902
8600000US93306,93306,72280
8600000US93307,93307,86832
8600000US93308,93308,53981
8600000US93309,93309,58538
8600000US93311,93311,45481
8600000US93312,93312,61628
8600000US93313,93313,55221
8600000US93314,93314,28963
8600000US93401,93401,28854
8600000US93402,93402,16562
8600000US93405,93405,35898
8600000US93410,93410,0
8600000US93420,93420,30740
8600000US93422,93422,33466
8600000US93424,93424,795
8600000US93426,93426,1568
8600000US93427,93427,6200
8600000US93428,93428,5859
8600000US93429,93429,144
8600000US93430,93430,2847
8600000US93432,93432,1503
8600000US93433,93433,13535
8600000US93434,93434,7451
8600000US93436,93436,56323
8600000US93437,93437,3387
8600000US93440,93440,1659
8600000US93441,93441,922
8600000US93442,93442,10917
8600000US93444,93444,21331
8600000US93445,93445,7106
8600000US93446,93446,44636
8600000US93449,93449,8180
8600000US93450,93450,767
8600000US93451,93451,4477
8600000US93452,93452,658
8600000US93453,93453,2578
8600000US93454,93454,40432
8600000US93455,93455,46175
8600000US93458,93458,57256
8600000US93460,93460,5284
8600000US93461,93461,1349
8600000US93463,93463,7911
8600000US93465,93465,9202
8600000US93501,93501,4802
8600000US93505,93505,13774
8600000US93510,93510,7644
8600000US93512,93512,328
8600000US93513,93513,1621
8600000US93514,93514,14175
8600000US93516,93516,2244
8600000US93517,93517,641
8600000US93518,93518,814
8600000US93519,93519,0
8600000US93522,93522,100
8600000US93523,93523,3556
8600000US93524,93524,165
8600000US93526,93526,629
8600000US93527,93527,1559
8600000US93528,93528,119
8600000US93529,93529,390
8600000US93530,93530,10
8600000US93531,93531,338
8600000US93532,93532,2683
8600000US93534,93534,39367
8600000US93535,93535,74264
8600000US93536,93536,70237
8600000US93541,93541,244
8600000US93543,93543,14392
8600000US93544,93544,1164
8600000US93545,93545,1821
8600000US93546,93546,9591
8600000US93549,93549,293
8600000US93550,93550,77506
8600000US93551,93551,50601
8600000US93552,93552,39905
8600000US93553,93553,1709
8600000US93554,93554,125
8600000US93555,93555,33833
8600000US93558,93558,26
8600000US93560,93560,21756
8600000US93561,93561,34979
8600000US93562,93562,1771
8600000US93563,93563,357
8600000US93591,93591,6744
8600000US93592,93592,115
8600000US93601,93601,1674
8600000US93602,93602,3530
8600000US93603,93603,175
8600000US93604,93604,541
8600000US93605,93605,198
8600000US93606,93606,1035
8600000US93608,93608,1280
8600000US93609,93609,5177
8600000US93610,93610,22724
8600000US93611,93611,49053
8600000US93612,93612,35140
8600000US93614,93614,11982
8600000US93615,93615,6347
8600000US93616,93616,2582
8600000US93618,93618,31470
8600000US93619,93619,39473
8600000US93620,93620,8906
8600000US93621,93621,136
8600000US93622,93622,10335
8600000US93623,93623,114
8600000US93624,93624,871
8600000US93625,93625,8059
8600000US93626,93626,2427
8600000US93627,93627,247
8600000US93628,93628,83
8600000US93630,93630,20764
8600000US93631,93631,16282
8600000US93633,93633,0
8600000US93634,93634,22
8600000US93635,93635,41180
8600000US93636,93636,13255
8600000US93637,93637,41108
8600000US93638,93638,49932
8600000US93640,93640,12920
8600000US93641,93641,223
8600000US93643,93643,2783
8600000US93644,93644,9055
8600000US93645,93645,148
8600000US93646,93646,11738
8600000US93647,93647,11407
8600000US93648,93648,16087
8600000US93650,93650,3173
8600000US93651,93651,1798
8600000US93652,93652,540
8600000US93653,93653,1377
8600000US93654,93654,30373
8600000US93656,93656,5806
8600000US93657,93657,35666
8600000US93660,93660,4090
8600000US93662,93662,30725
8600000US93664,93664,380
8600000US93665,93665,752
8600000US93666,93666,866
8600000US93667,93667,2405
8600000US93668,93668,1219
8600000US93669,93669,238
8600000US93673,93673,754
8600000US93675,93675,3905
8600000US93701,93701,10166
8600000US93702,93702,43601
8600000US93703,93703,32754
8600000US93704,93704,29740
8600000US93705,93705,36808
8600000US93706,93706,40586
8600000US93710,93710,33448
8600000US93711,93711,38007
8600000US93720,93720,47081
8600000US93721,93721,7650
8600000US93722,93722,84621
8600000US93723,93723,13936
8600000US93725,93725,27214
8600000US93726,93726,42824
8600000US93727,93727,84449
8600000US93728,93728,16574
8600000US93730,93730,12770
8600000US93901,93901,28194
8600000US93905,93905,60531
8600000US93906,93906,64348
8600000US93907,93907,23299
8600000US93908,93908,12398
8600000US93920,93920,1545
8600000US93921,93921,3316
8600000US93923,93923,12837
8600000US93924,93924,6514
8600000US93925,93925,2073
8600000US93926,93926,9171
8600000US93927,93927,18812
8600000US93928,93928,854
8600000US93930,93930,17067
8600000US93932,93932,709
8600000US93933,93933,25442
8600000US93940,93940,32236
8600000US93943,93943,0
8600000US93950,93950,15547
8600000US93953,93953,4028
8600000US93954,93954,551
8600000US93955,93955,34566
8600000US93960,93960,26966
8600000US93962,93962,414
8600000US94002,94002,27155
8600000US94005,94005,4697
8600000US94010,94010,42760
8600000US94014,94014,49170
8600000US94015,94015,65041
8600000US94019,94019,20512
8600000US94020,94020,1697
8600000US94021,94021,511
8600000US94022,94022,19406
8600000US94024,94024,23675
8600000US94025,94025,43392
8600000US94027,94027,7415
8600000US94028,94028,7125
8600000US94030,94030,22625
8600000US94037,94037,2504
8600000US94038,94038,3450
8600000US94040,94040,36526
8600000US94041,94041,14572
8600000US94043,94043,31161
8600000US94044,94044,38984
8600000US94060,94060,926
8600000US94061,94061,39023
8600000US94062,94062,28423
8600000US94063,94063,34867
8600000US94065,94065,12461
8600000US94066,94066,43101
8600000US94070,94070,31074
8600000US94074,94074,170
8600000US94080,94080,67600
8600000US94085,94085,23223
8600000US94086,94086,50477
8600000US94087,94087,56668
8600000US94089,94089,22882
8600000US94102,94102,31392
8600000US94103,94103,30703
8600000US94104,94104,429
8600000US94105,94105,10916
8600000US94107,94107,31461
8600000US94108,94108,14143
8600000US94109,94109,57302
8600000US94110,94110,72380
8600000US94111,94111,3611
8600000US94112,94112,84707
8600000US94114,94114,34918
8600000US94115,94115,34604
8600000US94116,94116,47346
8600000US94117,94117,44650
8600000US94118,94118,42095
8600000US94121,94121,43616
8600000US94122,94122,62128
8600000US94123,94123,25890
8600000US94124,94124,35747
8600000US94127,94127,21151
8600000US94128,94128,146
8600000US94129,94129,4136
8600000US94130,94130,3008
8600000US94131,94131,29523
8600000US94132,94132,31436
8600000US94133,94133,26796
8600000US94134,94134,42418
8600000US94158,94158,8455
8600000US94301,94301,16582
8600000US94303,94303,48244
8600000US94304,94304,3852
8600000US94305,94305,16397
8600000US94306,94306,27435
8600000US94401,94401,36001
8600000US94402,94402,25703
8600000US94403,94403,44408
8600000US94404,94404,36985
8600000US94501,94501,63821
8600000US94502,94502,14701
8600000US94503,94503,20276
8600000US94505,94505,16382
8600000US94506,94506,25240
8600000US94507,94507,15105
8600000US94508,94508,3935
8600000US94509,94509,68166
