Geo ID,Geographic Area Name,Aggregate travel time to work (in minutes):,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes
8600000US93226,93226,null,null,null,null,null,null,null,null,null,null
8600000US93230,93230,600890,28400,53960,57290,52260,50625,99075,47985,91660,119640
8600000US93234,93234,63860,1885,3170,2910,6780,2000,9420,1685,15010,21000
8600000US93235,93235,null,null,null,null,null,null,null,null,null,null
8600000US93238,93238,null,null,null,null,null,null,null,null,null,null
8600000US93239,93239,null,null,null,null,null,null,null,null,null,null
8600000US93240,93240,null,null,null,null,null,null,null,null,null,null
8600000US93241,93241,150400,2765,9520,16340,23930,16330,21510,22765,21835,15400
8600000US93242,93242,23895,865,2040,3560,5060,700,4350,2125,2680,2520
8600000US93243,93243,null,null,null,null,null,null,null,null,null,null
8600000US93244,93244,null,null,null,null,null,null,null,null,null,null
8600000US93245,93245,343935,15030,26895,53535,48400,14975,49210,41255,46965,47670
