GEO_ID,NAME,B12001_001E,B12001_002E,B12001_003E,B12001_004E,B12001_005E,B12001_006E,B12001_007E,B12001_008E,B12001_009E,B12001_010E,B12001_011E,B12001_012E,B12001_013E,B12001_014E,B12001_015E,B12001_016E,B12001_017E,B12001_018E,B12001_019E
id,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Male:,Estimate!!Total:!!Male:!!Never married,Estimate!!Total:!!Male:!!Now married:,"Estimate!!Total:!!Male:!!Now married:!!Married, spouse present","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Male:!!Widowed,Estimate!!Total:!!Male:!!Divorced,Estimate!!Total:!!Female:,Estimate!!Total:!!Female:!!Never married,Estimate!!Total:!!Female:!!Now married:,"Estimate!!Total:!!Female:!!Now married:!!Married, spouse present","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Female:!!Widowed,Estimate!!Total:!!Female:!!Divorced
8600000US91784,ZCTA5 91784,21818,10527,2967,6847,6530,317,81,236,283,430,11291,2512,6777,6431,346,112,234,876,1126
8600000US91786,ZCTA5 91786,43560,20534,9004,9313,8166,1147,576,571,499,1718,23026,8467,9326,8043,1283,727,556,1761,3472
8600000US91789,ZCTA5 91789,37896,18015,6001,10756,10023,733,90,643,478,780,19881,5646,11263,9904,1359,321,1038,1570,1402
8600000US91790,ZCTA5 91790,37075,17966,6965,9504,7918,1586,365,1221,376,1121,19109,6427,9394,7783,1611,612,999,1459,1829
8600000US91791,ZCTA5 91791,27468,13301,5051,6752,6220,532,30,502,354,1144,14167,4293,6895,6062,833,248,585,1657,1322
8600000US91792,ZCTA5 91792,24733,11687,4594,6171,5382,789,153,636,220,702,13046,4912,5911,5257,654,286,368,1052,1171
8600000US91801,ZCTA5 91801,47470,22391,9762,10995,9815,1180,223,957,321,1313,25079,9034,11297,9588,1709,517,1192,2368,2380
8600000US91803,ZCTA5 91803,25181,12562,5219,6349,5495,854,130,724,334,660,12619,4204,5937,5278,659,158,501,1470,1008
8600000US91901,ZCTA5 91901,14798,7438,2469,4083,3893,190,39,151,286,600,7360,1870,4100,3904,196,86,110,412,978
8600000US91902,ZCTA5 91902,15942,7664,2643,4393,4006,387,40,347,111,517,8278,2085,4183,3980,203,27,176,878,1132
8600000US91905,ZCTA5 91905,1371,711,107,403,375,28,4,24,54,147,660,174,378,367,11,5,6,24,84
8600000US91906,ZCTA5 91906,3203,1903,830,861,730,131,56,75,25,187,1300,191,791,698,93,51,42,145,173
8600000US91910,ZCTA5 91910,61165,30019,12033,14909,12885,2024,473,1551,727,2350,31146,9541,14636,12447,2189,984,1205,3020,3949
8600000US91911,ZCTA5 91911,68001,33100,13079,16749,14754,1995,536,1459,831,2441,34901,11379,16500,13892,2608,1298,1310,3071,3951
8600000US91913,ZCTA5 91913,41181,20710,7926,11244,10279,965,448,517,489,1051,20471,5750,10972,9940,1032,122,910,1165,2584
8600000US91914,ZCTA5 91914,13270,6667,2423,3981,3916,65,21,44,0,263,6603,1600,4131,3736,395,107,288,428,444
8600000US91915,ZCTA5 91915,24743,12173,4378,7255,6905,350,19,331,80,460,12570,3356,7599,6625,974,228,746,910,705
8600000US91916,ZCTA5 91916,1590,804,142,500,432,68,0,68,59,103,786,149,458,432,26,0,26,107,72
8600000US91917,ZCTA5 91917,767,325,65,211,153,58,0,58,0,49,442,175,195,154,41,8,33,31,41
8600000US91931,ZCTA5 91931,399,192,108,79,79,0,0,0,5,0,207,30,128,75,53,53,0,23,26
8600000US91932,ZCTA5 91932,20924,10855,4937,4281,3632,649,358,291,228,1409,10069,3778,4196,3558,638,235,403,797,1298
8600000US91934,ZCTA5 91934,323,216,23,137,73,64,0,64,0,56,107,0,68,68,0,0,0,0,39
8600000US91935,ZCTA5 91935,7193,3578,981,2267,2120,147,50,97,63,267,3615,734,2221,2094,127,38,89,304,356
8600000US91941,ZCTA5 91941,26287,12299,3826,6864,6504,360,242,118,218,1391,13988,3670,7103,6394,709,333,376,1094,2121
8600000US91942,ZCTA5 91942,33620,15505,6404,7024,6412,612,274,338,360,1717,18115,5980,7276,6342,934,357,577,1557,3302
8600000US91945,ZCTA5 91945,21474,10312,4103,4842,4376,466,145,321,268,1099,11162,3639,4972,4165,807,473,334,808,1743
8600000US91948,ZCTA5 91948,130,76,52,24,24,0,0,0,0,0,54,30,24,24,0,0,0,0,0
8600000US91950,ZCTA5 91950,52016,26480,11313,12659,8856,3803,547,3256,563,1945,25536,8591,11076,8454,2622,1075,1547,2774,3095
8600000US91962,ZCTA5 91962,1615,829,235,514,464,50,16,34,20,60,786,112,462,454,8,0,8,75,137
8600000US91963,ZCTA5 91963,974,552,132,338,211,127,19,108,13,69,422,115,198,198,0,0,0,90,19
8600000US91977,ZCTA5 91977,51342,25003,9909,12304,10681,1623,533,1090,652,2138,26339,8653,12243,10259,1984,844,1140,2083,3360
8600000US91978,ZCTA5 91978,8241,4253,1727,2167,1909,258,52,206,46,313,3988,1081,2105,1829,276,108,168,378,424
8600000US91980,ZCTA5 91980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US92003,ZCTA5 92003,4327,2270,843,1172,1109,63,23,40,54,201,2057,426,1134,1055,79,31,48,214,283
8600000US92004,ZCTA5 92004,2138,1074,252,652,597,55,55,0,41,129,1064,322,667,667,0,0,0,42,33
8600000US92007,ZCTA5 92007,9634,4529,1266,2459,2289,170,89,81,180,624,5105,1411,2486,2416,70,17,53,483,725
8600000US92008,ZCTA5 92008,23336,11631,4509,5699,5124,575,197,378,352,1071,11705,3620,5515,5063,452,206,246,868,1702
8600000US92009,ZCTA5 92009,36852,17379,4340,11601,10969,632,190,442,359,1079,19473,4060,11746,11062,684,272,412,1438,2229
8600000US92010,ZCTA5 92010,13297,6290,1829,3637,3485,152,26,126,139,685,7007,1832,3568,3392,176,98,78,417,1190
8600000US92011,ZCTA5 92011,19503,9428,3020,5572,5363,209,71,138,67,769,10075,2244,5577,5365,212,71,141,824,1430
8600000US92014,ZCTA5 92014,11483,5800,1732,3409,3260,149,101,48,115,544,5683,1162,3616,3245,371,156,215,359,546
8600000US92019,ZCTA5 92019,35608,17080,5399,9622,8890,732,244,488,326,1733,18528,4909,9409,8729,680,211,469,2033,2177
8600000US92020,ZCTA5 92020,47100,23398,9143,11736,10390,1346,414,932,516,2003,23702,6617,11703,10231,1472,841,631,2577,2805
8600000US92021,ZCTA5 92021,56082,28196,11065,13485,12023,1462,470,992,784,2862,27886,8422,12870,11534,1336,397,939,2233,4361
8600000US92024,ZCTA5 92024,42567,20810,6834,12186,11345,841,332,509,385,1405,21757,5397,12115,11413,702,235,467,1714,2531
