"GEO_ID","NAME","B12001_001E","B12001_001M","B12001_002E","B12001_002M","B12001_003E","B12001_003M","B12001_004E","B12001_004M","B12001_005E","B12001_005M","B12001_006E","B12001_006M","B12001_007E","B12001_007M","B12001_008E","B12001_008M","B12001_009E","B12001_009M","B12001_010E","B12001_010M","B12001_011E","B12001_011M","B12001_012E","B12001_012M","B12001_013E","B12001_013M","B12001_014E","B12001_014M","B12001_015E","B12001_015M","B12001_016E","B12001_016M","B12001_017E","B12001_017M","B12001_018E","B12001_018M","B12001_019E","B12001_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Never married","Margin of Error!!Total:!!Male:!!Never married","Estimate!!Total:!!Male:!!Now married:","Margin of Error!!Total:!!Male:!!Now married:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse present","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse present","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other","Estimate!!Total:!!Male:!!Widowed","Margin of Error!!Total:!!Male:!!Widowed","Estimate!!Total:!!Male:!!Divorced","Margin of Error!!Total:!!Male:!!Divorced","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Never married","Margin of Error!!Total:!!Female:!!Never married","Estimate!!Total:!!Female:!!Now married:","Margin of Error!!Total:!!Female:!!Now married:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse present","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse present","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other","Estimate!!Total:!!Female:!!Widowed","Margin of Error!!Total:!!Female:!!Widowed","Estimate!!Total:!!Female:!!Divorced","Margin of Error!!Total:!!Female:!!Divorced"
"8600000US95252","ZCTA5 95252","13726","847","6699","569","1989","412","3554","301","3260","324","294","218","117","96","177","200","234","117","922","267","7027","560","1662","485","3747","431","3493","411","254","171","132","115","122","127","582","219","1036","367"
"8600000US95254","ZCTA5 95254","966","353","437","221","158","135","262","115","216","118","46","70","0","12","46","70","0","12","17","29","529","358","67","100","180","84","180","84","0","12","0","12","0","12","140","133","142","172"
"8600000US95255","ZCTA5 95255","1164","270","671","169","231","117","262","89","232","79","30","38","8","12","22","36","77","59","101","56","493","135","11","20","262","85","241","83","21","23","0","12","21","23","58","42","162","87"
"8600000US95257","ZCTA5 95257","354","151","152","98","50","54","87","57","87","57","0","12","0","12","0","12","0","12","15","24","202","94","4","11","93","60","93","60","0","12","0","12","0","12","62","64","43","38"
"8600000US95258","ZCTA5 95258","3019","280","1551","138","340","121","974","147","901","150","73","44","21","23","52","44","38","42","199","77","1468","205","257","129","951","151","902","151","49","41","40","37","9","17","131","82","129","63"
"8600000US95301","ZCTA5 95301","30137","757","15333","611","6071","585","7925","395","6995","381","930","204","483","142","447","138","213","78","1124","238","14804","463","4636","397","7412","365","6633","362","779","176","471","128","308","130","1327","196","1429","258"
"8600000US95303","ZCTA5 95303","903","175","510","106","212","90","260","58","212","54","48","36","22","26","26","24","5","8","33","29","393","85","100","47","237","56","208","50","29","27","22","25","7","10","22","18","34","26"
"8600000US95304","ZCTA5 95304","11878","803","6900","484","2774","309","3371","292","2619","283","752","145","180","98","572","112","114","69","641","145","4978","442","1501","283","2754","248","2631","258","123","53","41","29","82","45","374","129","349","102"
"8600000US95305","ZCTA5 95305","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US95306","ZCTA5 95306","590","170","302","90","34","28","211","80","157","64","54","58","0","12","54","58","35","58","22","36","288","112","115","85","159","72","159","72","0","12","0","12","0","12","14","23","0","12"
"8600000US95307","ZCTA5 95307","34384","1018","16923","683","6691","550","8763","498","7770","424","993","240","304","152","689","207","341","118","1128","219","17461","667","5913","598","8269","431","7345","395","924","231","317","116","607","184","1339","234","1940","341"
"8600000US95310","ZCTA5 95310","1649","325","913","210","292","169","383","102","316","100","67","45","11","17","56","40","98","76","140","82","736","201","132","92","391","121","356","119","35","36","12","18","23","32","150","100","63","43"
"8600000US95311","ZCTA5 95311","1750","315","818","170","132","88","507","137","482","132","25","22","5","8","20","20","31","24","148","81","932","178","211","119","465","106","453","112","12","23","12","23","0","12","131","73","125","61"
"8600000US95312","ZCTA5 95312","179","63","93","36","40","29","49","26","40","21","9","10","9","10","0","12","0","12","4","6","86","31","29","24","36","20","36","20","0","12","0","12","0","12","10","8","11","13"
"8600000US95313","ZCTA5 95313","1009","349","492","186","201","106","210","88","201","90","9","17","0","12","9","17","4","6","77","54","517","186","128","78","201","86","201","86","0","12","0","12","0","12","63","45","125","97"
"8600000US95314","ZCTA5 95314","95","35","58","50","58","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","48","37","48","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US95315","ZCTA5 95315","10848","730","5306","493","1866","447","2885","293","2480","293","405","213","145","116","260","177","50","46","505","167","5542","500","2044","430","2907","316","2347","274","560","222","242","122","318","192","277","116","314","114"
"8600000US95316","ZCTA5 95316","5558","620","2709","401","807","294","1753","227","1630","212","123","118","31","48","92","110","23","29","126","61","2849","312","708","192","1706","211","1606","207","100","88","35","58","65","69","166","97","269","117"
"8600000US95317","ZCTA5 95317","884","185","521","133","228","101","245","63","223","57","22","30","10","15","12","20","0","12","48","39","363","77","111","59","211","55","211","55","0","12","0","12","0","12","7","12","34","31"
"8600000US95318","ZCTA5 95318","165","100","86","65","62","59","24","29","24","29","0","12","0","12","0","12","0","12","0","12","79","56","34","41","24","29","24","29","0","12","0","12","0","12","21","27","0","12"
"8600000US95319","ZCTA5 95319","1487","305","706","179","382","162","235","103","235","103","0","12","0","12","0","12","0","12","89","69","781","234","380","160","248","102","230","101","18","27","0","12","18","27","53","44","100","65"
"8600000US95320","ZCTA5 95320","9847","474","4843","310","1269","282","2910","283","2735","275","175","123","80","84","95","95","169","122","495","191","5004","442","1064","276","3101","312","2720","278","381","185","61","63","320","182","486","307","353","143"
"8600000US95321","ZCTA5 95321","3200","509","1457","275","401","168","858","162","754","123","104","73","53","52","51","55","54","48","144","73","1743","275","343","151","911","148","835","138","76","51","50","40","26","30","160","71","329","151"
"8600000US95322","ZCTA5 95322","8035","833","3964","506","1317","372","2213","300","2174","295","39","40","31","37","8","13","119","96","315","152","4071","538","1244","514","2314","341","2145","332","169","101","85","63","84","71","185","140","328","155"
"8600000US95323","ZCTA5 95323","1014","169","490","89","160","55","287","57","274","55","13","16","0","12","13","16","6","6","37","21","524","92","155","56","305","54","273","50","32","22","8","7","24","21","29","13","35","21"
"8600000US95324","ZCTA5 95324","6539","620","3288","382","1374","340","1605","269","1548","262","57","59","0","17","57","59","88","57","221","118","3251","370","792","240","1701","250","1466","241","235","141","134","114","101","85","316","137","442","166"
"8600000US95325","ZCTA5 95325","78","91","38","48","0","12","38","48","38","48","0","12","0","12","0","12","0","12","0","12","40","47","0","12","40","47","40","47","0","12","0","12","0","12","0","12","0","12"
"8600000US95326","ZCTA5 95326","7838","532","3638","441","990","265","2194","301","2096","299","98","73","45","50","53","68","89","76","365","222","4200","332","1091","257","2295","308","2072","296","223","114","8","10","215","113","489","172","325","138"
"8600000US95327","ZCTA5 95327","7292","612","4791","411","2317","266","1521","223","912","182","609","130","163","60","446","127","110","64","843","212","2501","294","492","203","1094","217","959","187","135","109","38","44","97","92","406","140","509","178"
"8600000US95328","ZCTA5 95328","3245","614","1442","299","599","246","762","190","743","189","19","29","0","12","19","29","0","12","81","61","1803","393","751","329","849","188","721","175","128","93","35","42","93","87","92","91","111","74"
"8600000US95329","ZCTA5 95329","2173","335","1092","159","186","69","648","99","603","104","45","27","27","24","18","15","34","20","224","97","1081","216","186","97","668","128","604","121","64","56","46","51","18","24","110","76","117","69"
"8600000US95330","ZCTA5 95330","17453","406","8558","363","3139","381","4814","275","4155","303","659","184","92","61","567","175","188","84","417","109","8895","324","2848","285","4756","275","4025","302","731","223","120","52","611","223","590","156","701","173"
"8600000US95333","ZCTA5 95333","1972","239","1027","128","349","91","594","89","547","86","47","18","12","9","35","17","27","14","57","28","945","137","288","94","519","78","497","76","22","16","4","5","18","15","72","29","66","29"
"8600000US95334","ZCTA5 95334","12673","516","6053","418","2456","409","3318","271","2960","246","358","187","97","93","261","148","41","43","238","119","6620","378","2165","341","3479","327","2833","256","646","252","256","136","390","241","519","170","457","172"
"8600000US95335","ZCTA5 95335","153","135","98","89","0","12","58","60","58","60","0","12","0","12","0","12","40","65","0","12","55","58","0","12","55","58","55","58","0","12","0","12","0","12","0","12","0","12"
"8600000US95336","ZCTA5 95336","37707","975","18275","688","6454","578","9308","542","8705","491","603","204","86","65","517","186","599","149","1914","340","19432","650","5718","541","9675","468","8521","478","1154","254","539","173","615","194","1657","257","2382","333"
"8600000US95337","ZCTA5 95337","30249","965","14629","652","5117","475","8243","409","7545","398","698","189","189","93","509","160","205","90","1064","227","15620","585","4347","515","8431","416","7398","385","1033","250","554","188","479","154","1298","257","1544","259"
"8600000US95338","ZCTA5 95338","9066","402","4592","284","1104","221","2783","259","2574","258","209","97","33","26","176","93","177","80","528","129","4474","248","706","206","2703","258","2514","249","189","93","84","74","105","49","477","109","588","157"
"8600000US95340","ZCTA5 95340","28365","1308","13614","690","5682","577","6194","424","5627","409","567","153","129","83","438","145","436","132","1302","252","14751","841","5661","789","6352","440","5463","389","889","225","482","157","407","162","990","176","1748","260"
"8600000US95341","ZCTA5 95341","23334","954","12004","635","5717","585","5340","409","4584","366","756","213","256","107","500","217","254","92","693","183","11330","618","4635","484","4935","332","4249","341","686","172","328","93","358","136","552","139","1208","216"
"8600000US95345","ZCTA5 95345","668","228","240","102","42","44","145","84","125","83","20","31","0","12","20","31","7","11","46","45","428","171","155","89","107","73","107","73","0","12","0","12","0","12","84","75","82","78"
"8600000US95346","ZCTA5 95346","1150","428","641","236","111","92","345","155","345","155","0","12","0","12","0","12","19","30","166","130","509","206","0","12","364","160","364","160","0","12","0","12","0","12","20","34","125","115"
"8600000US95348","ZCTA5 95348","26406","1335","13004","894","6615","849","4962","457","4283","418","679","247","251","175","428","176","151","84","1276","279","13402","919","5474","735","5057","525","4018","403","1039","330","539","238","500","284","1272","332","1599","310"
"8600000US95350","ZCTA5 95350","43070","919","20969","715","7951","630","10036","496","9038","425","998","234","371","124","627","180","759","181","2223","326","22101","614","6655","522","9962","450","8898","446","1064","197","377","128","687","150","2211","295","3273","343"
"8600000US95351","ZCTA5 95351","35373","1001","17094","670","7470","562","7854","425","6687","415","1167","264","219","92","948","233","394","151","1376","231","18279","752","7022","548","7955","497","6375","408","1580","287","822","189","758","202","1315","252","1987","335"
"8600000US95354","ZCTA5 95354","19165","812","9557","619","3694","556","4224","430","3640","403","584","167","282","104","302","130","250","116","1389","277","9608","514","2955","430","4021","371","3475","361","546","153","340","132","206","91","761","176","1871","277"
"8600000US95355","ZCTA5 95355","48171","1237","23032","881","8189","892","12390","536","11647","558","743","233","362","183","381","165","579","189","1874","323","25139","795","7063","801","12612","613","11478","555","1134","281","593","203","541","208","2333","339","3131","327"
"8600000US95356","ZCTA5 95356","26044","933","12898","581","4814","543","6749","420","6201","441","548","224","242","162","306","160","304","111","1031","241","13146","642","3340","409","6696","449","6163","448","533","201","170","106","363","194","1189","229","1921","360"
